exclude,Film ,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Oscar
,Bruno ,Universal,68,48,Comedy,Comedy,2756,11110,60.10,70.70,130.80,42,3.1143,30.6,
y,Cirque du Freak: The Vampire's Assistant ,,38,50,Discovery,Action,2754,2285,13.90,14.30,28.20,40,0.7050,6.3,
,Cloudy with a Chance of Meatballs ,Sony,86,70,Comedy,Animation,3119,9716,124.90,87.80,212.70,100,2.1270,30.3,
y,Confessions of a Shopaholic ,,24,53,Comedy,Comedy,2507,6010,44.27,63.57,108.30,70,1.5471,15,
,Coraline ,Universal,89,77,Journey and Return,Animation,2299,7329,75.30,46.60,121.90,60,2.0317,16.8,
,Couples Retreat ,Universal,12,47,Comedy,Comedy,3000,11429,109.20,57.20,166.40,60,2.7733,34.3,
y,Crank: High Voltage ,,62,54,Pursuit,Action,2223,3133,13.70,20.80,34.50,12.9,2.6744,7,
y,Dance Flick ,,17,35,Comedy,Action,2450,4344,25.66,6.43,32.09,25,1.2836,10.6,
y,Did You Hear About the Morgans? ,,12,31,Comedy,Comedy,2718,2434,6.10,41.30,47.50,58,0.8190,6.6,
,District 9 ,Independent,91,81,Metamorphosis,Action,3049,12251,115.60,89.20,204.80,30,6.8267,37.4,
,Drag Me to Hell ,Universal,92,61,Monster Force,Horror,2508,6310,77.20,8.10,86.70,30,2.8900,15.8,
y,Dragonball Evolution ,,15,28,Quest,Action,2181,2181,9.36,48.87,58.23,30,1.9410,4.8,
y,Duplicity ,,64,38,Rivalry,Romance,2574,5425,55.40,21.40,78.10,60,1.3017,14,
y,Everybody's Fine ,,46,55,Discovery,Drama,2133,1806,9.20,4.70,13.90,21,0.6619,3.9,
y,Extract ,,62,37,Comedy,Comedy,1611,2694,8.80,2.00,10.80,7.5,1.4400,4.3,
,Fame,MGM,25,43,Maturation,Comedy,3096,3234,22.50,55.50,78.00,18,4.3333,10,
,Fast and Furious ,Universal,28,76,Revenge,Action,3461,20500,155.10,188.00,343.00,85,4.0353,70.9,
y,Fired Up! ,,22,52,Comedy,Comedy,1810,3030,17.20,1.40,18.60,20,0.9300,5.5,
,Friday the 13th,Paramount,25,52,Monster Force,Horror,3105,13066,65.00,26.40,91.40,19,4.8105,40.6,
y,Funny People ,,68,58,Transformation,Comedy,,,22.50,47.30,71.50,70,1.0214,22.7,
,G-Force ,Disney,22,50,Comedy,Action,3697,8576,119.40,165.60,285.10,82.5,3.4558,31.7,
,G.I. Joe: The Rise of Cobra ,Paramount,33,62,Pursuit,Action,4007,13654,150.20,151.90,302.10,175,1.7263,54.7,
y,Gamer ,,29,43,Revenge,Action,2502,3659,20.53,14.53,35.10,12.5,2.8080,9.2,
y,Ghosts of Girlfriends Past ,,27,47,Love,Comedy,3175,4854,51.50,48.40,101.90,50,2.0380,15.4,
y,Halloween II,,20,45,Escape,Horror,3025,5405,31.70,5.80,37.70,15,2.5133,16.3,
,Hannah Montana: The Movie ,Disney,44,66,Maturation,Comedy,3118,10367,79.58,70.52,150.09,35,4.2883,32.3,
,Harry Potter and the Half-Blood Prince ,Warner Bros.,83,75,Quest,Adventure,4325,17997,302.00,632.00,934.00,250,3.7360,77.8,
,He's Just Not That Into You ,Warner Bros.,42,60,Love,Comedy,3175,8751,94.00,84.50,178.40,25,7.1360,27.8,
y,Hotel for Dogs ,,46,57,Comedy,Comedy,3271,5201,73.00,45.20,118.20,35,3.3771,17,
y,I Love You Beth Cooper ,,14,38,Comedy,Comedy,1856,2648,14.80,0.94,15.70,18,0.8722,4.9,
y,"I Love You, Man ",,83,72,Comedy,Comedy,2711,6570,71.40,20.00,91.40,30,3.0467,17.8,
,Ice Age: Dawn of the Dinosaurs ,Fox,45,72,Quest,Animation,4099,10171,196.60,687.90,884.50,90,9.8278,41.7,
y,Imagine That ,,38,44,Comedy,Comedy,3008,1830,16.12,6.86,22.99,55,0.4180,5.5,
,Inglourious Basterds ,Universal,88,87,Underdog,Adventure,3135,12024,120.50,193.00,313.60,70,4.4800,38,Supporting Actor
,Inkheart ,Warner Bros.,39,51,Quest,Adventure,2655,2862,43.30,16.90,62.50,60,1.0417,7.6,
,Invictus,Warner Bros.,75,74,Underdog,Biography,2125,4052,38.10,11.60,53.90,60,0.8983,8.6,
,It's Complicated ,Universal,56,63,Love,Comedy,2887,7655,112.73,105.40,218.10,75,2.9080,22.1,
y,Jennifer's Body ,,42,37,Monster Force,Comedy,2702,2542,16.20,2.60,18.80,16,1.1750,6.9,
y,Julie & Julia ,,74,69,Underdog,Biography,2354,8508,73.00,43.90,118.60,40,2.9650,20,
,Knowing ,Independent,33,50,Escape,Drama,3332,7384,146.30,37.00,183.30,50,3.6660,24.6,
y,Land of the Lost ,,26,38,Journey and Return,Drama,3521,5350,1.50,66.40,68.80,100,0.6880,18.8,
y,Law Abiding Citizen ,,25,77,Revenge,Crime,2890,7280,73.40,29.10,102.50,53,1.9340,21,
y,Love Happens ,,18,40,Love,Drama,1898,4245,22.90,11.20,33.10,18,1.8389,8.1,
y,Michael Jackson's This Is It ,,81,82,Tragedy,Documentary,3481,6675,72.10,180.00,252.01,60,4.2002,23.3,
,Monsters Vs. Aliens ,Paramount,72,65,Monster Force,Animation,4104,14454,198.40,183.20,381.50,175,2.1800,59.3,
,My Bloody Valentine 3-D ,Lionsgate,57,48,Pursuit,Crime,2534,8383,38.60,60.80,100.00,14,7.1429,21.2,
y,My Life in Ruins ,,9,43,Comedy,Comedy,1164,2769,8.67,9.34,18.01,17,1.0594,3.2,
y,My Sister's Keeper ,,47,73,Escape,Drama,2606,4774,71.40,20.00,91.70,27.5,3.3345,12.4,
y,Next Day Air ,,21,27,Comedy,Action,1138,3613,10.00,0.00,10.00,3,3.3333,4.1,
,Night at the Museum: Battle of the Smithsonian ,Fox,43,60,Quest,Action,4096,13226,177.20,235.80,413.00,150,2.7533,54.2,
y,Nine ,,37,40,Discovery,Drama,1412,3862,19.20,10.30,29.50,80,0.3688,5.45,
y,Ninja Assassin ,,25,57,Revenge,Action,2503,5320,27.70,21.60,49.80,50,0.9960,13.3,
y,Not Easily Broken ,,34,66,Love,Drama,724,7340,10.60,0.14,10.70,5,2.1400,5.3,
,Notorious,Fox,50,66,Tragedy ,Biography,1638,12514,20.40,19.00,40.50,19,2.1316,20.5,
y,Observe and Report ,,51,40,Comedy,Comedy,2727,4040,24.00,0.87,24.90,18,1.3833,11,
,Obsessed ,Sony,20,50,Rivalry,Drama,2514,11318,41.00,32.40,73.80,20,3.6900,28.6,
y,Old Dogs ,,5,49,Comedy,Comedy,3425,4933,9.40,48.10,57.60,35,1.6457,16.9,
y,Orphan ,,55,65,Escape,Horror,2750,4681,68.30,5.50,75.80,30,2.5267,12.8,
y,Pandorum ,,28,49,Monster Force,Action,2506,1765,10.30,6.70,17.00,40,0.4250,4.4,
,Paranormal Activity ,Independent,82,56,Monster Force,Horror,760,25813,107.92,63.41,171.30,0.015,11420.0000,19.6,
,Paul Blart: Mall Cop ,Sony,33,50,Comedy,Action,3144,10125,80.00,103.30,183.30,26,7.0500,31.8,
y,"Pirate Radio (The Boat that Rocked, UK)",,60,72,Comedy,Comedy,882,3293,33.30,2.20,36.30,50,0.7260,2.9,
,Planet 51 ,Independent,22,45,Comedy,Animation,3035,4048,51.90,19.60,73.40,50,1.4680,12.3,
y,Post Grad ,,7,31,Maturation,Comedy,1959,1354,6.38,0.00,6.38,15,0.4253,2.6,
y,Public Enemies ,,67,65,Underdog,Biography,3334,7580,97.10,117.00,214.10,102.5,2.0888,25.2,
y,Push ,,22,47,Quest,Action,2313,4358,31.70,12.60,44.40,38,1.1684,10.1,
y,Race to Witch Mountain ,,42,50,Quest,Action,3187,7651,67.17,37.93,105.10,50,2.1020,24.4,
,Saw VI ,Independent,40,67,Escape,Horror,3036,4650,31.80,17.00,49.30,11,4.4818,14.1,
,Sherlock Holmes ,Warner Bros.,70,81,The Riddle,Action,3626,17183,197.60,197.00,394.60,90,4.3844,62.3,
y,Sorority Row ,,22,38,Pursuit,Horror,2665,1899,11.97,1.60,13.56,12.5,1.0848,5.1,
,Star Trek ,Paramount,94,91,Revenge,Action,3849,19539,257.70,127.80,385.50,140,2.7536,75.2,
y,State of Play ,,84,71,The Riddle,Crime,2803,5020,37.02,51.32,88.30,60,1.4717,14.1,
y,Street Fighter: The Legend of Chun-Li ,,16,28,Revenge,Action,1136,4156,9.14,3.20,12.34,50,0.2468,4.7,
y,Sunshine Cleaning ,,72,59,Transformation,Comedy,,,12.10,2.50,14.60,5,2.9200,0.9,
y,Surrogates ,,39,42,Pursuit,Action,2951,5050,73.30,24.00,99.40,80,1.2425,14.9,
,Taken ,Independent,58,83,Pursuit,Action,3183,7765,145.00,81.80,226.80,25,9.0720,24.7,
y,Taking Woodstock ,,48,48,Quest,Comedy,1393,2482,7.50,2.50,9.90,29,0.3414,3.5,
,Terminator Salvation ,Independent,33,64,Monster Force,Action,3530,12056,125.30,246.70,372.00,200,1.8600,42.6,
,The Blind Side ,Independent,65,90,Rags To Riches,Biography,3110,10971,255.80,39.30,295.10,29,10.1759,34.1,Best Actress
y,The Box ,,46,27,Temptation,Drama,2635,2873,15.10,11.30,26.34,25,1.0536,7.6,
,Fantastic Mr. Fox ,Fox,93,80,Rivalry,Animation,2033,3426,20.50,21.80,42.78,40,1.0695,7,
,The Final Destination ,Warner Bros.,29,52,Escape,Horror,3121,8782,66.50,86.10,152.60,40,3.8150,27.4,
y,The Fourth Kind ,,18,44,Monster Force,Mystery,2527,4840,26.22,5.50,31.72,10,3.1720,12.2,
,The Hangover ,Warner Bros.,79,87,Comedy,Comedy,3269,13759,277.30,190.00,467.30,35,13.3514,45,
y,The Haunting in Connecticut ,,17,51,Monster Force,Drama,2732,8420,42.70,33.80,76.80,30,2.5600,23,
,The Hurt Locker ,Independent,97,83,Quest,Drama,4,36338,14.70,3.40,18.10,15,1.2067,0.14,"Best Picture, Director, Original Screenplay"
y,The Informant! ,,78,42,Comedy,Comedy,2505,4177,13.70,20.80,35.50,22,1.6136,10.5,
y,The International ,,58,39,The Riddle,Action,2364,3947,25.50,34.70,60.20,50,1.2040,9.3,
y,The Invention of Lying ,,56,47,Love,Comedy,1707,4117,23.10,8.50,32.00,18.5,1.7297,7,
,The Lovely Bones ,Paramount,32,57,Tragedy,Drama,2563,6635,44.00,48.30,92.30,65,1.4200,17,
,The Men Who Stare at Goats ,Independent,52,43,Comedy,Comedy,2443,5201,32.40,15.80,48.20,24,2.0083,12.7,
y,The Pink Panther 2 ,,12,47,Comedy,Adventure,3243,3573,41.60,34.20,75.90,59,1.2864,11.6,
y,The Princess and the Frog ,,84,72,Metamorphosis,Animation,3434,7050,104.30,143.00,247.30,105,2.3552,24.2,
,The Proposal ,Disney,43,74,Love,Comedy,3056,11004,164.00,150.70,314.70,40,7.8675,33.6,
,The Road ,The Weinstein Company,75,65,Quest,Adventure,111,13534,7.90,6.50,14.30,25,0.5720,1.5,
y,The Soloist ,,56,59,Quest,Drama,2024,4801,31.70,6.20,37.92,60,0.6320,9.7,
y,The Stepfather,,12,48,Rescue,Mystery,2734,4236,29.10,2.13,31.20,20,1.5600,11.6,
,The Taking of Pelham 1 2 3 ,Sony,51,60,Rescue,Action,3074,7603,65.50,84.60,150.00,110,1.3636,4.7,
,The Time Traveler's Wife ,Paramount,38,65,Love,Drama,2988,6233,40.60,37.60,79.70,39,2.0436,18.6,
,The Twilight Saga: New Moon ,Summit,27,78,Love,Drama,4024,35497,293.80,410.30,704.20,50,14.0840,142.8,
,The Ugly Truth ,Independent,14,68,Love,Comedy,2882,9579,88.90,116.40,205.30,38,5.4026,27.6,
,The Unborn,Relativity Media,11,39,Monster Force,Horror,2357,8405,35.90,40.00,76.50,16,4.7813,19.8,
y,The Uninvited ,,31,52,Monster Force,Drama,2344,4405,28.60,14.10,42.70,,,10.3,
,Transformers: Revenge of the Fallen ,Paramount,20,76,Revenge,Action,4234,25736,402.10,434.20,836.30,210,3.9824,109,
,Underworld: Rise of the Lycans ,Sony,30,68,Rivalry,Action,2942,7080,37.00,50.80,91.10,35,2.6029,20.8,
,Up ,Disney,98,86,Journey and Return,Animation,3766,18085,293.00,434.00,727.10,175,4.1549,68.1,Animated
,Up in the Air ,Paramount,90,76,Maturation,Drama,1895,5947,83.82,78.20,162.02,25,6.4808,11.2,
,Watchmen ,Warner Bros.,64,68,Sacrifice,Action,3611,15291,107.50,77.70,185.30,138,1.3428,55.2,
y,Whatever Works ,,50,63,Discovery,Comedy,9,29574,5.30,23.70,29.00,15,1.9333,0.26,
,Where the Wild Things Are ,Warner Bros.,73,59,Journey and Return,Adventure,3735,8754,63.40,16.30,85.30,100,0.8530,32.7,
y,Whip It ,,84,73,Maturation,Drama,1721,2702,13.00,3.00,16.00,15,1.0667,4.7,
y,Whiteout ,,7,28,Pursuit,Action,2745,1791,10.30,1.90,12.20,35,0.3486,4.9,
,X-Men Origins: Wolverine ,Fox,37,72,Revenge,Action,4099,20751,179.90,193.20,373.10,150,2.4873,85.1,
y,Year One ,,14,31,Quest,Adventure,3022,6489,32.40,26.20,60.20,60,1.0033,19.6,
,Zombieland ,Sony,90,87,Monster Force,Action,3036,8147,49.20,42.50,93.30,23.6,3.9534,24.7,
