exclude,Film ,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Proftitability,Opening Weekend,Oscar,Bafta,Source,,,,,,
,,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),,,,,,,,,
,Remember Me,Summit,28,70,Love,Drama,2212,3657,19.07,36.79,55.85,16,349.06%,8,,,,,,,,,
,Repo Men,Universal,22,43,Rescue,Action,2521,2430,13.79,4.62,18.41,32,57.53%,6.1,,,,,,,,,
,Resident Evil: Afterlife,Highlight Communications,24,53,Monster Force,Action,3203,8320,60.13,236.09,296.22,60,493.70%,26.7,,,,,,,,,
,Robin Hood,Universal,42,59,Rivalry,Action,3503,10295,105.27,216.4,321.67,200,160.84%,36,,,,,,,,,
,Salt,Sony,62,62,Revenge,Action,3612,9970,118.31,175.19,293.5,110,266.82%,36,,,,,,,,,
,Saw 3-D,Independent,10,47,Escape,Crime,2808,8024,45.71,76.8,122.51,20,612.55%,22.53,,,,,,,,,
,Scott Pilgrim vs. the World,Universal,81,83,Underdog,Action,2818,3765,31.52,16.05,47.58,60,79.30%,10.6,,,,,,,,,
,Sex and the City 2,Warner Bros.,15,49,Love,Comedy,3445,3445,95.35,193,288.35,100,288.35%,31,,,,,,,,,
,She's Out of My League,Paramount,57,60,Love,Comedy,2956,3307,32.01,16.8,48.81,20,244.05%,9.8,,,,,,,,,
,Shrek Forever After,Paramount,57,64,Journey and Return,Animation,4359,16251,238.74,510.06,748.8,165,453.82%,70.8,,,,,,,,,
,Shutter Island,Paramount,68,73,The Riddle,Drama,2991,13729,128.01,166.79,294.8,80,368.50%,41,,,,,,,,,
,Skyline,Independent,16,19,Monster Force,Action,2880,4060,21.39,33.87,55.26,10,552.60%,11.69,,,,,,,,,
,Solitary Man,Independent,81,47,Wretched Excess,Comedy,4,23734,4.36,0.7,5.06,15,33.73%,0.09,,,,,,,,,
,Step Up 3D,Summit,46,67,Transformation,Drama,2435,6494,42.4,116.75,159.15,30,530.50%,15.8,,,http://www.the-numbers.com/movies/2009/ABSTV.php,,,,,,
,Stone,Independent,49,20,Rivalry,Drama,6,12628,1.81,6.59,8.4,22,38.18%,0.075,,,,,,,,,
,Takers,Sony,27,57,Rivalry,Action,2206,9298,57.74,10.42,68.16,32,213.00%,20.5,,,,,,,,,
,Tangled,Disney,89,88,Love,Animation,3603,13535,175.78,179.3,355.08,260,136.57%,48.77,,,,,,,,,
,The A-Team,Fox,47,71,Pursuit,Action,3535,7262,77.22,99.81,177.03,100,177.03%,25.7,,,,,,,,,
,The American,Universal,66,37,Rivalry,Crime,2823,4668,35.61,10.39,46,20,230.00%,13.1,,,,,,,,,
,The Back-up Plan,CBS,20,47,Love,Comedy,3280,3720,37.49,39.6,77.1,35,220.29%,12.2,,,,,,,,,
,The Book of Eli        ,Independent,48,68,Quest,Action,3111,10540,94.84,58.62,153.45,80,191.81%,32.7,,,,,,,,,
,The Bounty Hunter,Sony,7,41,Rivalry,Action,3074,6729,67.06,69.26,136.32,40,340.80%,20.7,,,http://boxofficemojo.com/movies,,,,,,
,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,63,Quest,Adventure,3555,6752,104,311,415.68,155,268.18%,24,,,,,,,,,
y,The Company Men,Independent,66,56,Discovery,Drama,,,,,,,,,,,,,,,,,
,The Crazies,Liberty Starz,72,54,Monster Force,Horror,2476,6489,39.12,15.47,54.59,20,272.95%,16.07,,,http://boxofficemojo.com/movies/?id=crazies.htm,,,,,,
,The Expendables,Independent,40,58,Pursuit,Action,3270,10650,103.07,171.4,274.47,82,334.72%,34.8,,,,,,,,,
,The Fighter,Paramount,91,88,Underdog,Drama,2503,4848,93,35,129.19,25,516.76%,12,"Sup. Actor, Sup. Actress",,,,,,,,
,The Ghost Writer,Independent,83,68,The Riddle,Mystery,4,,15.54,44.48,60.02,45,133.38%,2,,,,,,,,,
,The Greatest,Independent,52,39,Discovery,Drama,,,0.11,0.3,0.41,6,6.83%,0.3,,,,,,,,,
,The Joneses,Independent,61,47,Temptation,Comedy,,,1.48,0.49,6.41,10,64.10%,0.51,,,http://www.imdb.com/title/tt1285309/,,,,,,
,The Karate Kid,Sony,66,75,Underdog,Action,3663,15197,176.59,182.53,359.13,40,897.83%,55.7,,,,,,,,,
,The Kids Are All Right,Independent,94,72,Comedy,Comedy,847,4162,20.81,8.55,29.37,4,734.25%,3.5,,,,,,,,,
,The Killer Inside Me,Independent,56,41,The Riddle,Crime,,,0.22,3.36,3.58,13,27.54%,11.1,,,,,,,,,
,The King's Speech,Independent,95,93,Maturation,Biography,700,6406,,,245.2,15,1634.67%,4.4,"Best Picture, Director,  Actor, Orig. Screenplay",,,,,,,,
,The Last Airbender,Paramount,6,42,Quest,Action,3169,12725,131.77,187.35,319.12,150,212.75%,40.3,,,,,,,,,
,The Last Exorcism,Independent,73,32,Monster Force,Drama,2874,7087,41.03,25.42,66.46,1.8,3692.22%,20.4,,,,,,,,,
,The Last Song,Disney,19,66,Discovery,Drama,2673,5989,62.95,26.09,89.04,20,445.20%,16,,,,,,,,,
,The Losers,Warner Bros.,47,55,Revenge,Action,2936,3204,23.59,5.79,29.38,25,117.52%,9.4,,,,,,,,,
,The Next Three Days,Lionsgate,51,66,Rescue,Crime,2564,2552,21.15,20.6,41.75,30,139.17%,6.54,,,,,,,,,
,The Other Guys,Sony,78,57,Comedy,Action,3651,9735,119.22,51.05,170.27,100,170.27%,35.5,,,,,,,,,
,The Runaways,Independent,68,56,Maturation,Biography,244,3300,3.57,1.11,4.68,10,46.80%,0.8,,,,,,,,,
,The Social Network,Sony,96,89,Rags to Riches,Biography,2771,8100,94.08,105.52,199.6,50,399.20%,22.4,,,,,,,,,
,The Sorcerer's Apprentice,Disney,42,57,Pursuit,Action,3504,5028,63.15,152.13,215.28,150,143.52%,17.6,,,,,,,,,
y,The Spy Next Door,Relativity Media,13,46,Rivalry,Action,2924,3326,24.31,19.27,43.58,,,9.7,,,,,,,,,
,The Switch,Independent,52,44,Comedy,Comedy,2012,4193,27.78,19.95,47.73,19,251.21%,8.4,,,,,,,,,
,The Tourist,Sony,20,44,,,2756,5977,67,210,278.34,100,278.34%,16,,,,,,,,,
,The Town,Warner Bros.,94,83,Rivalry,Crime,2856,8322,92.18,52.37,144.55,37,390.68%,23.8,,,,,,,,,
,The Twilight Saga: Eclipse,Summit,50,74,Monster Force,Drama,4468,14510,300.53,393.05,693.58,68,1019.97%,64.8,,,,,,,,,
,The Wolfman,Universal,33,38,Monster Force,Drama,3222,9770,61.98,77.81,139.79,150,93.19%,31.5,,,,,,,,,
y,Tooth Fairy,Fox,16,46,Comedy,Comedy,3344,4190,60.02,52.34,112.36,48,234.08%,14,,,,,,,,,
,Toy Story 3,Disney,99,91,Rescue,Animation,4028,27385,415,648.16,1063.16,200,531.58%,110.3,,,,,,,,,
,Tron: Legacy,Independent,50,67,Fish Out Of Water,Action,3451,12578,148.21,143.2,291.41,170,171.42%,44.03,,,,,,,,,
,True Grit,Paramount,96,86,,,3047,8149,171,79,250.93,38,660.34%,24,,,,,,,,,
,Unstoppable,Fox,86,73,Rescue,Action,3207,7075,80.02,66,146.02,100,146.02%,22.69,,,,,,,,,
,Valentine's Day,Warner Bros.,17,54,Love,Comedy,3655,15351,110.49,106,216.49,52,416.33%,56.2,,,,,,,,,
,Vampires Suck,Independent,4,32,Comedy,Comedy,3233,3774,36.66,43.32,79.98,20,399.90%,12.2,,,,,,,,,
,Wall Street: Money Never Sleeps,Independent,54,43,Rivalry,Drama,3565,5333,52.47,78.16,130.63,70,186.61%,19,,,,,,,,,
y,When in Rome,Disney,15,44,Love,Comedy,2456,5029,32.68,10.36,43.04,,,12.3,,,,,,,,,
,Why Did I Get Married Too?,Lionsgate,27,67,Comedy,Comedy,2155,13591,60.09,0.58,60.67,20,303.35%,29.3,,,,,,,,,
,Winter's Bone,Independent,94,73,Quest,Drama,?,,6.25,1.54,7.8,2,390.00%,0.8,,,,,,,,,
,Yogi Bear,,14,36,,Comedy,3515,4669,100,101,201.58,80,251.98%,16.4,,,http://boxofficemojo.com/movies/?id=yogibear.htm,,,,,,
,You Again,Independent,18,45,Comedy,Comedy,2548,3300,25.7,6.16,31.86,20,159.30%,8.4,,,,,,,,,
,You Will Meet a Tall Dark Stranger,Independent,43,35,Love,Comedy,402,,3.24,23.42,26.66,22,121.18%,0.16,,,,,,,,,
,Youth in Revolt,The Weinstein Company,68,52,Love,Comedy,1873,3678,15.28,4.34,19.62,18,109.00%,6.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
